237;382;376;988
208;340;339;971
212;350;367;961
222;365;375;915
224;359;359;970
228;377;379;980
213;337;343;52
199;325;334;885
214;350;348;942
216;368;371;896
221;355;352;924
217;348;360;1448
229;359;342;1466
226;358;364;1429
243;386;388;1372
234;356;365;1363
235;381;388;1336
229;368;376;1345
245;388;381;1344
239;364;381;1373
228;360;359;1334
203;368;375;914
207;379;375;876
225;402;398;868
207;376;377;896
212;385;393;858
220;401;414;867
234;406;410;849
228;396;394;895
221;389;384;858
221;400;392;877
239;388;385;1335
218;371;371;1307
222;367;372;1335
225;386;393;1306
220;372;384;1297
225;386;388;1288
230;398;394;1251
242;396;394;1269
242;394;389;1344
226;386;373;1298
377;508;506;848
377;516;522;885
401;541;533;867
385;520;522;868
380;505;493;885
397;536;532;849
369;507;508;829
392;514;516;848
377;520;512;830
398;487;503;1345
384;497;502;1317
427;558;553;1270
371;472;477;1297
382;473;480;1326
393;494;489;1297
372;477;486;1279
382;491;480;1214
377;476;472;1261
384;491;485;1251
