1362;1068;1061
1316;1028;1022
1313;1035;1028
1312;1031;1027
1305;1053;1047
1313;1030;1022
1308;1053;1051
1306;1070;1068
1306;1043;1037
1320;1036;1032
883;1048;1041
780;1026;1024
753;1022;1023
764;1022;1020
779;1026;1023
767;1023;1024
747;1018;1019
750;1018;1016
750;1019;1020
743;1023;1024
833;1051;1049
850;1056;1058
850;1057;1058
888;1064;1066
867;1065;1065
868;1062;1065
881;1066;1065
890;1068;1070
877;1064;1068
865;1065;1066
927;1011;1007
948;1012;1012
947;1015;1018
939;1018;1012
944;1015;1015
956;1019;1016
974;1019;1016
1009;1030;1028
1045;1036;1033
1022;1031;1024
