581;827;822;483
477;694;691;465
493;697;699;475
456;700;680;445
459;695;699;465
476;705;713;465
428;661;642;465
543;733;713;483
459;713;715;475
453;704;691;456
535;711;726;756
519;738;741;745
516;722;728;727
532;720;732;718
511;739;739;708
514;734;716;717
516;729;728;737
533;736;738;727
482;722;724;727
560;732;711;765
456;738;730;465
444;726;721;456
477;750;739;464
427;726;704;455
448;741;759;474
455;736;750;483
460;724;742;474
434;716;704;465
486;755;732;474
465;720;736;474
464;683;701;736
484;684;690;727
506;750;745;727
451;703;705;726
440;694;686;718
455;700;717;709
453;691;686;708
473;686;697;737
473;683;686;745
448;699;704;754
976;1074;1069;446
980;1086;1074;474
951;1037;1019;474
875;984;980;447
881;972;999;483
868;1002;1037;464
873;955;978;492
872;970;1015;493
856;968;976;483
872;985;985;455
890;914;939;745
902;914;894;746
884;976;980;746
998;991;982;754
879;965;939;727
953;967;948;747
884;949;960;736
889;981;985;745
1056;1022;1022;755
885;947;928;736
