540;741;715;474
494;696;695;483
463;692;691;455
469;686;683;474
459;694;687;465
502;680;680;492
456;670;658;455
464;700;692;474
487;683;680;484
510;679;678;502
526;733;721;736
502;713;721;718
499;713;708;707
638;827;813;765
535;720;720;764
498;718;732;737
687;809;805;736
520;717;724;727
503;724;721;709
684;823;822;718
436;721;722;445
512;772;770;493
452;734;721;456
443;745;763;484
448;736;754;455
439;751;767;456
456;733;754;483
575;844;834;464
453;720;724;474
464;725;734;455
436;696;676;689
451;700;705;718
515;718;705;737
573;775;763;736
472;682;707;746
456;696;695;745
646;817;826;737
423;680;682;718
649;817;810;765
650;818;820;736
859;993;1012;465
871;1028;1019;475
939;1022;1009;465
875;997;1039;493
865;991;991;454
885;985;1014;483
886;939;951;502
859;994;1027;465
1048;1106;1082;493
925;997;995;455
843;880;889;765
981;972;948;754
860;927;947;727
864;934;936;727
875;877;911;793
851;935;960;755
839;787;795;0
922;928;910;782
910;914;909;746
1054;1001;1001;783
902;923;894;736
