338;531;523;1213
334;528;522;1233
333;531;522;1214
325;518;516;1195
322;501;494;1158
321;508;511;1222
326;510;512;1185
330;532;514;1185
321;507;497;1148
360;554;550;1157
312;489;485;1177
322;499;503;1158
326;519;510;1194
326;508;510;1184
314;484;494;1157
302;478;484;1186
337;512;502;1213
360;553;553;1233
343;531;522;1242
347;531;516;1138
358;548;537;1176
337;523;527;1139
343;527;523;1148
331;526;528;1177
355;531;527;1177
327;518;523;1167
347;545;535;1167
334;498;497;1157
318;493;489;1157
338;522;522;1167
314;490;486;1148
322;507;499;1148
331;519;512;1139
335;527;515;1129
342;543;526;1129
346;535;526;1129
338;523;526;1130
343;523;533;1177
354;541;540;1138
318;501;498;1119
331;518;510;1120
348;527;523;1147
326;502;503;1148
361;548;548;1195
361;545;535;1149
354;541;532;1186
350;539;527;1119
346;537;533;1149
322;512;506;1111
329;507;512;1148
